DATADOACAO,FORNECEDOR,DESTINO,ESTADO/MUNICIPIO,TIPO,QUANTIDADE,VALOR,DESTINATARIO,UF,DATA DE ENTREGA
18/02/2021,KTK,AMAPA,ESTADO,TRANSPORTE,4, 80.000,Central SAMU,AP,23/02/2021
13/03/2021,LIFEMED,AMAPA,ESTADO,UTI,36, 2.160.000,SES MACAṔ ,AP,16/03/2021
10/04/2020,MAGNAMED-O,AMAZONAS,ESTADO,UTI,10, 600.000,Hospital Pronto Socorro da Zona Norte Delphina de Abdel de Azzis ,AM,11/04/2020
10/04/2020,MAGNAMED-O,AMAZONAS,ESTADO,TRANSPORTE,10, 482.900,Hospital Pronto Socorro da Zona Norte Delphina de Abdel de Azzis ,AM,23/04/2020
18/04/2020,MAGNAMED,AMAZONAS,ESTADO,TRANSPORTE,15, 724.350,Secretaria Estadual de Saude,AM,20/04/2020
22/04/2020,SUZANO/Zhongxun Medical,AMAZONAS,ESTADO,UTI,10, 1.700.816,50,Secretaria Estadual de Saude,AM,23/04/2020
22/04/2020,SUZANO/Resmed,AMAZONAS,ESTADO,UTI,10, 912.708,40,Secretaria Estadual de Saude,AM,23/04/2020
29/04/2020,VYAIRE,AMAZONAS,ESTADO,UTI,25, 1.500.000,Secretaria Estadual de Saude,AM,30/04/2020
29/04/2020,MAGNAMED,AMAZONAS,ESTADO,TRANSPORTE,10, 482.900,Secretaria Estadual de Saude,AM,30/04/2020
15/05/2020,MAGNAMED,AMAZONAS,MUNICIPIO,TRANSPORTE,10, 482.900,Secretaria Municipal de Saude (TABATINGA) Obs: Entregues na Fo̤a A̩rea Brasileira FAB/SP,AM,16/05/2020
15/05/2020,MAGNAMED,AMAZONAS,MUNICIPIO,TRANSPORTE,8, 386.320,Secretaria Municipal de Saude (SAO GABRIEL DA CACHOEIRA) Obs: Entregues na Fo̤a A̩rea Brasileira FAB/SP,AM,16/05/2020
16/05/2020,KTK,AMAZONAS,MUNICIPIO,UTI,20, 1.200.000,Secretaria Municipal de Saude,AM,17/06/2020
16/05/2020,MAGNAMED,AMAZONAS,MUNICIPIO,TRANSPORTE,10, 482.900,Secretaria Municipal de Saude,AM,17/06/2020
20/05/2020,VYAIRE,AMAZONAS,ESTADO,UTI,15, 900.000,Secretaria Estadual de Saude,AM,21/05/2020
20/05/2020,MAGNAMED,AMAZONAS,ESTADO,TRANSPORTE,5, 241.450,Secretaria Estadual de Saude,AM,21/05/2020
21/05/2020,VYAIRE,AMAZONAS,ESTADO,UTI,14, 840.000,Secretaria Estadual de Saude,AM,23/05/2020
21/05/2020,VYAIRE,AMAZONAS,ESTADO,UTI,1, 60.000,Secretaria Estadual de Saude,AM,23/05/2020
21/05/2020,MAGNAMED,AMAZONAS,ESTADO,TRANSPORTE,5, 241.450,Secretaria Estadual de Saude,AM,23/05/2020
10/06/2020,MAGNAMED,AMAZONAS,ESTADO,TRANSPORTE,16, 772.640,FAB Manaus - Amazonas,AM,12/06/2020
26/06/2020,MAGNAMED,AMAZONAS,MUNICIPIO,TRANSPORTE,5, 241.450,Secretaria Municipal de Saude (Itacoatiara),AM,02/07/2020
26/06/2020,VYAIRE,AMAZONAS,MUNICIPIO,UTI,5, 300.000,Secretaria Municipal de Saude (Itacoatiara),AM,02/07/2020
26/06/2020,KTK,AMAZONAS,MUNICIPIO,TRANSPORTE,18, 360.000,Secretaria Municipal de Saude (Manaus),AM,01/07/2020
08/10/2020,KTK,AMAZONAS,ESTADO,TRANSPORTE,20, 400.000,12o Batalhao de Suprimento,AM,15/10/2020
23/10/2020,MAGNAMED,AMAZONAS,ESTADO,UTI,30, 1.800.000,SES AMAZONAS ,AM,25/10/2020
29/10/2020,MAGNAMED,AMAZONAS,ESTADO,UTI,30, 1.800.000,SES AMAZONAS,AM,04/11/2020
23/12/2020,VYAIRE,AMAZONAS,ESTADO,UTI,10, 600.000,Funda̤̣o de Medicina Tropical Dr Heitor Vieira Dourado,AM,24/12/2020
23/12/2020,VYAIRE,AMAZONAS,ESTADO,UTI,5, 300.000,HOSPITAL E PRONTO SOCORRO DA CRIANCA ZON,AM,24/12/2020
23/12/2020,VYAIRE,AMAZONAS,ESTADO,UTI,5, 300.000,FUNDACAO HOSPITAL ADRIANO JORGE,AM,24/12/2020
23/12/2020,VYAIRE,AMAZONAS,ESTADO,UTI,5, 300.000,HOSPITAL PRONTO SOCORRO 28 DE AGOSTO,AM,24/12/2020
23/12/2020,VYAIRE,AMAZONAS,ESTADO,UTI,10, 600.000,HOSPITAL UNIVERSITARIO FRANCISCA MENDES,AM,24/12/2020
23/12/2020,VYAIRE,AMAZONAS,ESTADO,UTI,5, 300.000,INSTITUTO DE SAUDE DA CRIANCA DO AMAZONA,AM,24/12/2020
28/12/2020,VYAIRE,AMAZONAS,ESTADO,UTI,50, 3.000.000,SECRETARIA ESTADUAL DE SAUDE DO AMAZONAS,AM,30/12/2020
05/01/2021,VYAIRE,AMAZONAS,ESTADO,UTI,40, 2.400.000,SECRETARIA ESTADUAL DE SAUDE DO AMAZONAS ,AM,06/01/2021
05/01/2021,VYAIRE,AMAZONAS,ESTADO,UTI,38, 2.280.000,SECRETARIA ESTADUAL DE SAUDE DO AMAZONAS ,AM,06/01/2021
12/01/2021,KTK,AMAZONAS,ESTADO,TRANSPORTE,28, 560.000,SECRETARIA ESTADUAL DE SAUDE DO AMAZONAS ,AM,13/01/2021
12/01/2021,MAGNAMED,AMAZONAS,ESTADO,TRANSPORTE,12, 579.480,SECRETARIA ESTADUAL DE SAUDE DO AMAZONAS ,AM,13/01/2021
18/01/2021,KTK,AMAZONAS,ESTADO,TRANSPORTE,16, 320.000,SECRETARIA ESTADUAL DE SAUDE DO AMAZONAS ,AM,19/01/2021
25/01/2021 00:00,KTK,AMAZONAS,ESTADO,TRANSPORTE,30, 600.000,SECRETARIA ESTADUAL DE SAUDE DO AMAZONAS ,AM,27/01/2021 - 18:00
25/01/2021 00:00,VYAIRE,AMAZONAS,ESTADO,UTI,40, 2.400.000,SECRETARIA ESTADUAL DE SAUDE DO AMAZONAS ,AM,27/01/2021 - 18:00
03/02/2021,VYAIRE,AMAZONAS,ESTADO,UTI,50, 3.000.000,SECRETARIA ESTADUAL DE SAUDE DO AMAZONAS ,AM,04/02/2021
05/02/2021 00:00,VYAIRE,AMAZONAS,MUNICIPIO,UTI,8, 480.000,HOSPITAL DE GUARNICAO DE SAO GABRIEL DA CACHOEIRA,AM,-
05/02/2021 00:00,VYAIRE,AMAZONAS,MUNICIPIO,UTI,15, 900.000,HOSPITAL DE GUARNI����O DE TABATINGA,AM,-
05/02/2021,VYAIRE,AMAZONAS,MUNICIPIO,UTI,4, 240.000, HOSPITAL GERAL ERALDO NEVES FALCAO ,AM,09/02/2021
30/05/2020,WEG,BAHIA,ESTADO,UTI,30, 1.800.000,Secretaria Estadual de Saude,BA,01/06/2020
30/05/2020,MAGNAMED,BAHIA,ESTADO,TRANSPORTE,30, 1.448.700,Secretaria Estadual de Saude,BA,01/06/2020
04/06/2020,MAGNAMED,BAHIA,MUNICIPIO,TRANSPORTE,10, 482.900,SALVADOR - Secretaria Municipal de Saude,BA,06/06/2020
04/06/2020,VYAIRE,BAHIA,MUNICIPIO,UTI,10, 600.000,SALVADOR - Secretaria Municipal de Saude,BA,06/06/2020
04/06/2020,VYAIRE,BAHIA,ESTADO,UTI,40, 2.400.000,Secretaria Estadual de Saude,BA,05/06/2020
07/06/2020,VYAIRE,BAHIA,MUNICIPIO,UTI,20, 1.200.000,SALVADOR - Secretaria Municipal de Saude,BA,09/06/2020
07/06/2020,VYAIRE,BAHIA,MUNICIPIO,UTI,10, 600.000,SALVADOR - Secretaria Municipal de Saude,BA,09/06/2020
07/06/2020,MAGNAMED,BAHIA,MUNICIPIO,TRANSPORTE,30, 1.448.700,SALVADOR - Secretaria Municipal de Saude,BA,09/06/2020
08/06/2020,WEG,BAHIA,MUNICIPIO,UTI,10, 600.000,Barreiras (Hospital do Oeste de Barriras),BA,10/06/2020
08/06/2020,MAGNAMED,BAHIA,MUNICIPIO,TRANSPORTE,2, 96.580,Barreiras (Hospital do Oeste de Barriras),BA,10/06/2020
08/06/2020,MAGNAMED,BAHIA,MUNICIPIO,TRANSPORTE,1, 48.290,Barreiras (Hospital do Oeste de Barriras),BA,10/06/2020
12/06/2020,VYAIRE,BAHIA,MUNICIPIO,UTI,4, 240.000,Secretaria Municipal de Saude (Feira de Santana),BA,14/06/2020
12/06/2020,MAGNAMED,BAHIA,MUNICIPIO,TRANSPORTE,3, 144.870,Secretaria Municipal de Saude (Feira de Santana),BA,14/06/2020
16/06/2020,MAGNAMED,BAHIA,ESTADO,TRANSPORTE,27, 1.303.830,Secretaria Estadual de Saude,BA,17/06/2020
16/06/2020,VYAIRE,BAHIA,ESTADO,UTI,27, 1.620.000,Secretaria Estadual de Saude,BA,17/06/2020
26/06/2020,MAGNAMED,BAHIA,MUNICIPIO,TRANSPORTE,1, 48.290,Secretaria Municipal de Saude (CASA NOVA),BA,01/07/2020
26/06/2020,VYAIRE,BAHIA,MUNICIPIO,UTI,1, 60.000,Secretaria Municipal de Saude (CASA NOVA),BA,01/07/2020
26/06/2020,MAGNAMED,BAHIA,MUNICIPIO,TRANSPORTE,1, 48.290,Secretaria Municipal de Saude (ITAMARAJU),BA,01/07/2020
26/06/2020,VYAIRE,BAHIA,MUNICIPIO,UTI,1, 60.000,Secretaria Municipal de Saude (ITAMARAJU),BA,01/07/2020
26/06/2020,MAGNAMED,BAHIA,MUNICIPIO,TRANSPORTE,10, 482.900,Secretaria Municipal de Saude  (JACOBINA),BA,27/06/2020
26/06/2020,VYAIRE,BAHIA,MUNICIPIO,UTI,10, 600.000,Secretaria Municipal de Saude  (JACOBINA),BA,27/06/2020
26/06/2020,MAGNAMED,BAHIA,MUNICIPIO,TRANSPORTE,2, 96.580,Secretaria Municipal de Saude (JUAZEIRO),BA,01/07/2020
26/06/2020,VYAIRE,BAHIA,MUNICIPIO,UTI,2, 120.000,Secretaria Municipal de Saude (JUAZEIRO),BA,01/07/2020
26/06/2020,MAGNAMED,BAHIA,MUNICIPIO,TRANSPORTE,2, 96.580,Secretaria Municipal de Saude (MATA DO SAO JOAO),BA,01/07/2020
26/06/2020,VYAIRE,BAHIA,MUNICIPIO,UTI,2, 120.000,Secretaria Municipal de Saude (MATA DO SAO JOAO),BA,01/07/2020
26/06/2020,MAGNAMED,BAHIA,MUNICIPIO,TRANSPORTE,20, 965.800,Secretaria Municipal de Saude (SERRINHA),BA,01/07/2020
04/07/2020,VYAIRE,BAHIA,MUNICIPIO,UTI,10, 600.000,Secretaria Municipal de Saude (ITABUNA),BA,07/07/2020
04/07/2020,KTK,BAHIA,MUNICIPIO,TRANSPORTE,5, 100.000,Secretaria Municipal de Saude (ITABUNA),BA,07/07/2020
07/07/2020,VYAIRE,BAHIA,MUNICIPIO,UTI,5, 300.000,Juazeiro - Pro -Mater,BA,13/07/2020
07/07/2020,MAGNAMED,BAHIA,MUNICIPIO,TRANSPORTE,5, 241.450,Juazeiro - Pro-Mater,BA,13/07/2020
07/07/2020,VYAIRE,BAHIA,MUNICIPIO,UTI,3, 180.000,Paulo Afonso - Nair Alves,BA,14/07/2020
07/07/2020,MAGNAMED,BAHIA,MUNICIPIO,TRANSPORTE,4, 193.160,Paulo Afonso - Nair Alves,BA,14/07/2020
07/07/2020,VYAIRE,BAHIA,MUNICIPIO,UTI,5, 300.000,SALVADOR - HOSPITAL DA SAGRADA FAMILIA,BA,13/07/2020
07/07/2020,MAGNAMED,BAHIA,MUNICIPIO,TRANSPORTE,5, 241.450,SALVADOR - HOSPITAL DA SAGRADA FAMILIA,BA,13/07/2020
07/07/2020,VYAIRE,BAHIA,MUNICIPIO,UTI,10, 600.000,SALVADOR - HOSPITAL DE SALVADOR,BA,13/07/2020
07/07/2020,MAGNAMED,BAHIA,MUNICIPIO,TRANSPORTE,10, 482.900,SALVADOR - HOSPITAL DE SALVADOR,BA,13/07/2020
07/07/2020,VYAIRE,BAHIA,MUNICIPIO,UTI,10, 600.000,SALVADOR - Pronto ATENDIMENTO,BA,13/07/2020
07/07/2020,MAGNAMED,BAHIA,MUNICIPIO,TRANSPORTE,10, 482.900,SALVADOR - Pronto ATENDIMENTO,BA,13/07/2020
07/07/2020,VYAIRE,BAHIA,MUNICIPIO,UTI,3, 180.000,Senhor do Bonfim - Hospital de Sr. do Bonfim,BA,13/07/2020
07/07/2020,MAGNAMED,BAHIA,MUNICIPIO,TRANSPORTE,4, 193.160,Senhor do Bonfim - Hospital de Sr. do Bonfim,BA,13/07/2020
07/07/2020,VYAIRE,BAHIA,MUNICIPIO,UTI,5, 300.000,Vitoria da Conquista - Hospital das Clínicas de Conquista,BA,12/07/2020
07/07/2020,MAGNAMED,BAHIA,MUNICIPIO,TRANSPORTE,5, 241.450,Vitoria da Conquista - Hospital das Clínicas de Conquista,BA,12/07/2020
10/07/2020,MAGNAMED,BAHIA,MUNICIPIO,TRANSPORTE,30, 1.448.700,Bahia - Secretaria Estadual de Saude,BA,17/07/2020
10/07/2020,VYAIRE,BAHIA,MUNICIPIO,UTI,17, 1.020.000,Bahia - Secretaria Estadual de Saude,BA,17/07/2020
10/07/2020,MAGNAMED,BAHIA,MUNICIPIO,TRANSPORTE,1, 48.290,ABAIRA - Secretaria Municipal de Saude,BA,16/07/2020
10/07/2020,MAGNAMED,BAHIA,MUNICIPIO,TRANSPORTE,2, 96.580,BARRA DO CHOSSA - Secretaria Municipal de Saude,BA,15/07/2020
10/07/2020,MAGNAMED,BAHIA,MUNICIPIO,TRANSPORTE,1, 48.290,BARROCAS - Secretaria Municipal de Saude,BA,18/07/2020
10/07/2020,MAGNAMED,BAHIA,MUNICIPIO,TRANSPORTE,2, 96.580,CACULO - Secretaria Municipal de Saude,BA,15/07/2020
10/07/2020,MAGNAMED,BAHIA,MUNICIPIO,TRANSPORTE,2, 96.580,CAMARAI - Secretaria Municipal de Saude,BA,18/07/2020
10/07/2020,MAGNAMED,BAHIA,MUNICIPIO,TRANSPORTE,2, 96.580,CAMARAI - Secretaria Municipal de Saude,BA,18/07/2020
10/07/2020,MAGNAMED,BAHIA,MUNICIPIO,TRANSPORTE,2, 96.580,CAMARAI - Secretaria Municipal de Saude,BA,18/07/2020
10/07/2020,MAGNAMED,BAHIA,MUNICIPIO,TRANSPORTE,5, 241.450,CAMPO ALEGRE DE LOURDES - Secretaria Municipal de Saude,BA,18/07/2020
10/07/2020,MAGNAMED,BAHIA,MUNICIPIO,TRANSPORTE,5, 241.450,CAMPO FORMOSO - Secretaria Municipal de Saude,BA,18/07/2020
10/07/2020,VYAIRE,BAHIA,MUNICIPIO,UTI,5, 300.000,CAMPO FORMOSO - Secretaria Municipal de Saude,BA,18/07/2020
10/07/2020,MAGNAMED,BAHIA,MUNICIPIO,TRANSPORTE,2, 96.580,MUNDO NOVO - Secretaria Municipal de Saude,BA,18/07/2020
10/07/2020,MAGNAMED,BAHIA,MUNICIPIO,TRANSPORTE,3, 144.870,SIM̥ES FILHO - Secretaria Municipal de Saude,BA,17/07/2020
10/07/2020,MAGNAMED,BAHIA,MUNICIPIO,TRANSPORTE,2, 96.580,VITORIA DA CONQUISTA - Secretaria Municipal de Saude,BA,15/07/2020
10/07/2020,VYAIRE,BAHIA,MUNICIPIO,UTI,3, 180.000,VITORIA DA CONQUISTA - Secretaria Municipal de Saude,BA,15/07/2020
10/07/2020,MAGNAMED,BAHIA,MUNICIPIO,TRANSPORTE,2, 96.580,XIQUE-XIQUE - Secretaria Municipal de Saude,BA,18/07/2020
17/07/2020,VYAIRE,BAHIA,MUNICIPIO,UTI,6, 360.000,SALVADOR - Secretaria Municipal de Saude ,BA,24/07/2020
17/07/2020,MAGNAMED,BAHIA,MUNICIPIO,TRANSPORTE,8, 386.320,SALVADOR - Secretaria Municipal de Saude ,BA,24/07/2020
17/07/2020,MAGNAMED,BAHIA,MUNICIPIO,TRANSPORTE,5, 241.450,ITAPETINIGA - Secretaria Municipal de Saude ,BA,24/07/2020
24/07/2020,VYAIRE,BAHIA,MUNICIPIO,UTI,5, 300.000, ITAPETINGA - Secretaria Municipal de Saude ,BA,07/08/2020
24/07/2020,KTK,BAHIA,MUNICIPIO,TRANSPORTE,5, 100.000, ITAPETINGA - Secretaria Municipal de Saude ,BA,07/08/2020
24/07/2020,KTK,BAHIA,MUNICIPIO,TRANSPORTE,4, 80.000,ALAGOINHAS - Secretaria Municipal de Saude ,BA,07/08/2020
24/07/2020,KTK,BAHIA,MUNICIPIO,TRANSPORTE,3, 60.000,ANDARAI - Secretaria Municipal de Saude ,BA,07/08/2020
24/07/2020,KTK,BAHIA,MUNICIPIO,TRANSPORTE,2, 40.000,BARRA  - Secretaria Municipal de Saude ,BA,07/08/2020
24/07/2020,KTK,BAHIA,MUNICIPIO,TRANSPORTE,2, 40.000,BIRITINGA - Secretaria Municipal de Saude ,BA,07/08/2020
24/07/2020,KTK,BAHIA,MUNICIPIO,TRANSPORTE,2, 40.000,BOA VISTA DO TUPIM - Secretaria Municipal de Saude ,BA,07/08/2020
24/07/2020,VYAIRE,BAHIA,MUNICIPIO,UTI,5, 300.000,BOM JESUS DA LAPA - Secretaria Municipal de Saude ,BA,07/08/2020
24/07/2020,KTK,BAHIA,MUNICIPIO,TRANSPORTE,3, 60.000,BOM JESUS DA LAPA - Secretaria Municipal de Saude ,BA,07/08/2020
24/07/2020,VYAIRE,BAHIA,MUNICIPIO,UTI,7, 420.000,CAETITE - Secretaria Municipal de Saude ,BA,07/08/2020
24/07/2020,KTK,BAHIA,MUNICIPIO,TRANSPORTE,3, 60.000,CASTRO ALVES - Secretaria Municipal de Saude ,BA,07/08/2020
24/07/2020,KTK,BAHIA,MUNICIPIO,TRANSPORTE,4, 80.000,CONCEICAO DO JACUIPE - Secretaria Municipal de Saude ,BA,07/08/2020
24/07/2020,VYAIRE,BAHIA,MUNICIPIO,UTI,1, 60.000,CURACA - Secretaria Municipal de Saude ,BA,07/08/2020
24/07/2020,KTK,BAHIA,MUNICIPIO,TRANSPORTE,1, 20.000,CURACA - Secretaria Municipal de Saude ,BA,07/08/2020
24/07/2020,KTK,BAHIA,MUNICIPIO,TRANSPORTE,2, 40.000,ENTRE RIOS - Secretaria Municipal de Saude ,BA,07/08/2020
24/07/2020,VYAIRE,BAHIA,MUNICIPIO,UTI,10, 600.000,ITABUNA - Secretaria Municipal de Saude ,BA,07/08/2020
24/07/2020,KTK,BAHIA,MUNICIPIO,TRANSPORTE,10, 200.000,ITABUNA - Secretaria Municipal de Saude ,BA,07/08/2020
24/07/2020,KTK,BAHIA,MUNICIPIO,TRANSPORTE,2, 40.000,ITATIM - Secretaria Municipal de Saude ,BA,07/08/2020
24/07/2020,VYAIRE,BAHIA,MUNICIPIO,UTI,1, 60.000,JAGUARARI - Secretaria Municipal de Saude ,BA,07/08/2020
24/07/2020,VYAIRE,BAHIA,MUNICIPIO,UTI,3, 180.000,LAJE - Secretaria Municipal de Saude ,BA,07/08/2020
24/07/2020,KTK,BAHIA,MUNICIPIO,TRANSPORTE,2, 40.000,LAJE - Secretaria Municipal de Saude ,BA,07/08/2020
24/07/2020,KTK,BAHIA,MUNICIPIO,TRANSPORTE,2, 40.000,MATA DE SAO JOAO - Secretaria Municipal de Saude ,BA,07/08/2020
24/07/2020,VYAIRE,BAHIA,MUNICIPIO,UTI,2, 120.000,POJUCA - Secretaria Municipal de Saude ,BA,07/08/2020
24/07/2020,KTK,BAHIA,MUNICIPIO,TRANSPORTE,1, 20.000,POJUCA - Secretaria Municipal de Saude ,BA,07/08/2020
24/07/2020,VYAIRE,BAHIA,MUNICIPIO,UTI,2, 120.000,QUIJINGUE - Secretaria Municipal de Saude ,BA,07/08/2020
24/07/2020,KTK,BAHIA,MUNICIPIO,TRANSPORTE,1, 20.000,QUIJINGUE - Secretaria Municipal de Saude ,BA,07/08/2020
